TSM,Date,Close,,Trade DATE
,5/11/2018,39.91,,5/11/2018
,5/14/2018,39.95,,5/11/2019
,5/15/2018,39.3,,
,5/16/2018,39.79,,
,5/17/2018,38.96,,
,5/18/2018,38.96,,
,5/21/2018,39.47,,
,5/22/2018,39.64,,
,5/23/2018,39.65,,
,5/24/2018,39.27,,
,5/25/2018,39.3,,
,5/29/2018,38.16,,
,5/30/2018,38.34,,
,5/31/2018,38.7,,
,6/1/2018,39.2,,
,6/4/2018,39.97,,
,6/5/2018,39.54,,
,6/6/2018,39.56,,
,6/7/2018,39.52,,
,6/8/2018,38.93,,
,6/11/2018,38.76,,
,6/12/2018,39.2,,
,6/13/2018,39.05,,
,6/14/2018,38.6,,
,6/15/2018,38.69,,
,6/18/2018,38.25,,
,6/19/2018,37.56,,
,6/20/2018,38.35,,
,6/21/2018,37.62,,
,6/22/2018,38.12,,
,6/25/2018,36.51,,
,6/26/2018,36.46,,
,6/27/2018,35.51,,
,6/28/2018,35.94,,
,6/29/2018,36.56,,
,7/2/2018,36.54,,
,7/3/2018,36.39,,
,7/5/2018,36.59,,
,7/6/2018,37.27,,
,7/9/2018,37.83,,
,7/10/2018,37.93,,
,7/11/2018,36.97,,
,7/12/2018,37.31,,
,7/13/2018,37.77,,
,7/16/2018,37.79,,
,7/17/2018,38.04,,
,7/18/2018,38.41,,
,7/19/2018,39.81,,
,7/20/2018,40.73,,
,7/23/2018,40.74,,
,7/24/2018,40.39,,
,7/25/2018,40.89,,
,7/26/2018,40.82,,
,7/27/2018,41.45,,
,7/30/2018,41.09,,
,7/31/2018,41.21,,
,8/1/2018,41.71,,
,8/2/2018,41.55,,
,8/3/2018,41.69,,
,8/6/2018,41.07,,
,8/7/2018,41.24,,
,8/8/2018,41.97,,
,8/9/2018,41.84,,
,8/10/2018,41.03,,
,8/13/2018,40.71,,
,8/14/2018,40.91,,
,8/15/2018,40.45,,
,8/16/2018,40.41,,
,8/17/2018,40.13,,
,8/20/2018,40.1,,
,8/21/2018,40.89,,
,8/22/2018,40.9,,
,8/23/2018,40.68,,
,8/24/2018,41.24,,
,8/27/2018,41.53,,
,8/28/2018,42.35,,
,8/29/2018,44.13,,
,8/30/2018,43.46,,
,8/31/2018,43.6,,
,9/4/2018,44.11,,
,9/5/2018,44.22,,
,9/6/2018,44.05,,
,9/7/2018,44.88,,
,9/10/2018,44.62,,
,9/11/2018,44.55,,
,9/12/2018,43.94,,
,9/13/2018,43.43,,
,9/14/2018,44.41,,
,9/17/2018,43.76,,
,9/18/2018,43.56,,
,9/19/2018,44.02,,
,9/20/2018,44.17,,
,9/21/2018,44.06,,
,9/24/2018,44.89,,
,9/25/2018,44.17,,
,9/26/2018,44.27,,
,9/27/2018,44.76,,
,9/28/2018,44.16,,
,10/1/2018,44.66,,
,10/2/2018,43.62,,
,10/3/2018,43.96,,
,10/4/2018,42.43,,
,10/5/2018,41.63,,
,10/8/2018,40.96,,
,10/9/2018,40.9,,
,10/10/2018,39.35,,
,10/11/2018,38.94,,
,10/12/2018,39.66,,
,10/15/2018,38.75,,
,10/16/2018,40.01,,
,10/17/2018,39.57,,
,10/18/2018,38.54,,
,10/19/2018,38.45,,
,10/22/2018,38.72,,
,10/23/2018,38,,
,10/24/2018,36.48,,
,10/25/2018,37.39,,
,10/26/2018,36.67,,
,10/29/2018,36.33,,
,10/30/2018,37.78,,
,10/31/2018,38.1,,
,11/1/2018,39.05,,
,11/2/2018,38.78,,
,11/5/2018,38.48,,
,11/6/2018,38.73,,
,11/7/2018,39.18,,
,11/8/2018,38.7,,
,11/9/2018,38.07,,
,11/12/2018,37.06,,
,11/13/2018,37.4,,
,11/14/2018,37.84,,
,11/15/2018,38.52,,
,11/16/2018,36.87,,
,11/19/2018,36.05,,
,11/20/2018,35.64,,
,11/21/2018,36.17,,
,11/23/2018,35.96,,
,11/26/2018,36.84,,
,11/27/2018,36.8,,
,11/28/2018,38.01,,
,11/29/2018,37.93,,
,11/30/2018,37.59,,
,12/3/2018,38.73,,
,12/4/2018,37.44,,
,12/6/2018,36.86,,
,12/7/2018,36.52,,
,12/10/2018,36.43,,
,12/11/2018,36.7,,
,12/12/2018,37.38,,
,12/13/2018,37.33,,
,12/14/2018,36.53,,
,12/17/2018,36.22,,
,12/18/2018,36.76,,
,12/19/2018,36.23,,
,12/20/2018,35.88,,
,12/21/2018,35.71,,
,12/24/2018,35.29,,
,12/26/2018,36.76,,
,12/27/2018,36.78,,
,12/28/2018,37.14,,
,12/31/2018,36.91,,
,1/2/2019,36.52,,
,1/3/2019,34.36,,
,1/4/2019,34.97,,
,1/7/2019,35.23,,
,1/8/2019,34.94,,
,1/9/2019,35.61,,
,1/10/2019,36.42,,
,1/11/2019,36.61,,
,1/14/2019,35.76,,
,1/15/2019,36.04,,
,1/16/2019,35.64,,
,1/17/2019,36.29,,
,1/18/2019,36.84,,
,1/22/2019,36.37,,
,1/23/2019,36.49,,
,1/24/2019,37.64,,
,1/25/2019,38.14,,
,1/28/2019,37.44,,
,1/29/2019,36.33,,
,1/30/2019,37.38,,
,1/31/2019,37.62,,
,2/1/2019,37.57,,
,2/4/2019,37.94,,
,2/5/2019,38.25,,
,2/6/2019,38.74,,
,2/7/2019,38.12,,
,2/8/2019,37.79,,
,2/11/2019,38.29,,
,2/12/2019,38.64,,
,2/13/2019,38.13,,
,2/14/2019,38.06,,
,2/15/2019,38.09,,
,2/19/2019,38.46,,
,2/20/2019,39,,
,2/21/2019,38.98,,
,2/22/2019,39.39,,
,2/25/2019,39.58,,
,2/26/2019,39.6,,
,2/27/2019,39.45,,
,2/28/2019,39.05,,
,3/1/2019,39.39,,
,3/4/2019,39.15,,
,3/5/2019,39.02,,
,3/6/2019,38.79,,
,3/7/2019,38.63,,
,3/8/2019,38.2,,
,3/11/2019,38.64,,
,3/12/2019,38.9,,
,3/13/2019,39.21,,
,3/14/2019,38.82,,
,3/15/2019,39.65,,
,3/18/2019,39.85,,
,3/19/2019,39.76,,
,3/20/2019,39.85,,
,3/21/2019,41.04,,
,3/22/2019,40.43,,
,3/25/2019,39.92,,
,3/26/2019,40.4,,
,3/27/2019,40.2,,
,3/28/2019,40.34,,
,3/29/2019,40.96,,
,4/1/2019,41.37,,
,4/2/2019,41.27,,
,4/3/2019,41.79,,
,4/4/2019,42.04,,
,4/5/2019,42.23,,
,4/8/2019,42.39,,
,4/9/2019,42.21,,
,4/10/2019,42.37,,
,4/11/2019,42.1,,
,4/12/2019,42.58,,
,4/15/2019,42.61,,
,4/16/2019,43.01,,
,4/17/2019,44.39,,
,4/18/2019,45.4,,
,4/22/2019,45.15,,
,4/23/2019,45.42,,
,4/24/2019,45.41,,
,4/25/2019,44.48,,
,4/26/2019,43.94,,
,4/29/2019,43.83,,
,4/30/2019,43.82,,
,5/1/2019,43.82,,
,5/2/2019,44.4,,
,5/3/2019,44.71,,
,5/6/2019,43.76,,
,5/7/2019,43.76,,
,5/8/2019,43.7,,
,5/9/2019,43.25,,
,5/10/2019,42.83,,